ABSA GROUP,"336,720",0,0,"336,720",ZAR,"3,218,460.96",0.08
AFRICAN RAINBOW MINERALS,"44,658","61,258","37,412","68,504",ZAR,"992,449.57",0.03
ANGLO AMERICAN PLATINUM,"23,470","6,352","2,899","26,923",ZAR,"3,064,718.02",0.08
ANGLOGOLD ASHANTI REG.,"206,588","17,368","15,220","208,736",ZAR,"4,298,967.69",0.11
ASPEN PHARMACARE HOLDINGS,"195,853","83,070","89,895","189,028",ZAR,"2,658,235.91",0.07
BID CORPORATION,"154,205",0,0,"154,205",ZAR,"3,153,956.08",0.08
BIDVEST GROUP,"154,253","62,624","58,559","158,318",ZAR,"1,879,282.31",0.05
CAPITEC BANK HOLDINGS,"31,285","12,366","3,760","39,891",ZAR,"5,098,349.83",0.13
CLICKS GROUP,"116,195",0,0,"116,195",ZAR,"2,297,181.01",0.06
DISCOVERY,"204,830","35,094","38,945","200,979",ZAR,"1,807,929.54",0.05
FIRSTRAND,"2,296,943","307,780","188,657","2,416,066",ZAR,"9,204,061.11",0.24
GOLD FIELDS,"436,370","32,431","35,911","432,890",ZAR,"4,723,274.81",0.12
GROWTHPOINT PROPERTIES,"1,490,945","367,560",0,"1,858,505",ZAR,"1,789,800.90",0.05
HARMONY GOLD MINING,"235,408",0,0,"235,408",ZAR,"982,341.67",0.03
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
IMPALA PLATINUM HOLDINGS,"383,142","31,508","20,881","393,769",ZAR,"5,551,254.80 0.15"
KUMBA IRON ORE,"35,802",0,"7,723","28,079",ZAR,"809,452.84 0.02"
MR. PRICE GROUP,"132,033","70,167","75,253","126,947",ZAR,"1,586,837.53 0.04"
MTN GROUP,"803,201","79,173","92,815","789,559",ZAR,"8,445,214.24 0.22"
MULTICHOICE GROUP,"220,508",0,"36,646","183,862",ZAR,"1,405,807.03 0.04"
NASPERS 'N',"209,067","14,780","119,996","103,851",ZAR,"16,085,192.76 0.42"
NEDBANK GROUP,"196,492","92,534","70,151","218,875",ZAR,"2,400,219.50 0.06"
NEDBANK GROUP -PROV-,0,"26,200","26,200",0,ZAR,0.00 0.00
NORTH PLAT HLDG,0,"162,086",0,"162,086",ZAR,"2,127,632.68 0.06"
NORTHAM PLATINUM (PTY),"180,557","23,890","204,447",0,ZAR,0.00 0.00
OLD MUTUAL,"2,358,544","428,337","372,982","2,413,899",ZAR,"1,981,333.17 0.05"
PEPKOR HOLDINGS,0,"514,074",0,"514,074",ZAR,"705,080.20 0.02"
RAND MERCHANT INSURANCE HLDGS,"393,720",0,0,"393,720",ZAR,"1,114,306.56 0.03"
